N,Taxa,ESGg
1,Fauchea,IB
2,Halodule,IB
3,Laminaria,IA
4,Sargassum,IB
5,Chnoospora,IB
6,Digenea,IB
7,Enantiocladia,IB
8,Padina,IB
9,Palisada,IB
10,Amphiroa,IC
11,Anadyomene,IC
12,Arthrocardia,IC
13,Avrainvillea,IC
14,Cheilosporum,IC
15,Corallina,IC
16,Dichotomaria,IC
17,Galaxaura,IC
18,Halimeda,IC
19,Haliptilon,IC
20,Hydrolithon,IC
21,Jania,IC
22,Lithophyllum,IC
23,Mesophyllum,IC
24,Peyssonnelia,IC
25,Pneophyllum,IC
26,Ralfsia,IC
27,Spongites,IC
28,Sporolithon,IC
29,Titanoderma,IC
30,Tricleocarpa,IC
31,Udotea,IC
32,Acrosorium,IIA
33,Acrosymphyton,IIA
34,Agardhiella,IIA
35,Amansia,IIA
36,Asparagopsis,IIA
37,Botryocladia,IIA
38,Callophyllis,IIA
39,Canistrocarpus,IIA
40,Caulerpa,IIA
41,Caulerpella,IIA
42,Ceratodictyon,IIA
43,Chamaedoris,IIA
44,Champia,IIA
45,Chondracanthus,IIA
46,Chondria,IIA
47,Chondrophycus,IIA
48,Chrysymenia,IIA
49,Coelothrix,IIA
50,Colpomenia,IIA
51,Cryptonemia,IIA
52,Cryptopleura,IIA
53,Dictyopteris,IIA
54,Dictyota,IIA
55,Dudresnaya,IIA
56,Gastroclonium,IIA
57,Gelidiella,IIA
58,Gelidiocolax,IIA
59,Gelidiopsis,IIA
60,Gelidium,IIA
61,Gloiocladia,IIA
62,Gracilaria,IIA
63,Gracilariopsis,IIA
64,Grateloupia,IIA
65,Haloplegma,IIA
66,Halopteris,IIA
67,Halymenia,IIA
68,Hydropuntia,IIA
69,Hypnea,IIA
70,Hypoglossum,IIA
71,Laurencia,IIA
72,Leptofauchea,IIA
73,Lobophora,IIA
74,Lomentaria,IIA
75,Meristotheca,IIA
76,Naccaria,IIA
77,Ochtodes,IIA
78,Osmundaria,IIA
79,Osmundea,IIA
80,Parviphycus,IIA
81,Petroglossum,IIA
82,Plocamium,IIA
83,Pterocladia,IIA
84,Pterocladiella,IIA
85,Rhodymenia,IIA
86,Rosenvingea,IIA
87,Scinaia,IIA
88,Sebdenia,IIA
89,Solieria,IIA
90,Spatoglossum,IIA
91,Sphacelaria,IIA
92,Stypopodium,IIA
93,Tsengia,IIA
94,Vidalia,IIA
95,Wurdemannia,IIA
96,Zonaria,IIA
97,Aglaothammion,IIB
98,Anotrichium,IIB
99,Antithamnion,IIB
100,Antithamnionella,IIB
101,Asteronema,IIB
102,Bachelotia,IIB
103,Bangia,IIB
104,Bangiopsis,IIB
105,Boodlea,IIB
106,Boodleopsis,IIB
107,Bostrychia,IIB
108,Bryocladia,IIB
109,Bryopsis,IIB
110,Bryothamnion,IIB
111,Callithamniella,IIB
112,Callithamnion,IIB
113,Centroceras,IIB
114,Ceramium,IIB
115,Chaetomorpha,IIB
116,Cladophora,IIB
117,Cladophoropsis,IIB
118,Codim,IIB
119,Compsothamnion,IIB
120,Cottoniella,IIB
121,Dasya,IIB
122,Derbesia,IIB
123,Dictyosphaeria,IIB
124,Diplothamnion,IIB
125,Dipterosiphonia,IIB
126,Dohrniella,IIB
127,Ectocarpus,IIB
128,Enteromorpha,IIB
129,Entocladia,IIB
130,Erythrocladia,IIB
131,Erythrotrichia,IIB
132,Feldmania,IIB
133,Falkenb,IIB
134,Gayliella,IIB
135,Giffordia,IIB
136,Griffithsia,IIB
137,Gymnogongrus,IIB
138,Gymnothamnion,IIB
139,Herposiphonia,IIB
140,Heterodasya,IIB
141,Heterosiphonia,IIB
142,Hincksia,IIB
143,Kuckuckia,IIB
144,Kuetzingiella,IIB
145,Leptonematella,IIB
146,Levringia,IIB
147,Lithothamnion,IIB
148,Lophocladia,IIB
149,Neosiphonia,IIB
150,Ophidocladus,IIB
151,Pedobesia,IIB
152,Penicillus,IIB
153,Petalonia,IIB
154,Platoma,IIB
155,Pleonosporium,IIB
156,Pyropia,IIB
157,Polysiphonia,IIB
158,Porphyra,IIB
159,Pradaea,IIB
160,Protectocarpus,IIB
161,Pterosiphonia,IIB
162,Ptilothamnion,IIB
163,Rhizoclonium,IIB
164,Scytosiphon,IIB
165,Shalingia,IIB
166,Spermothamnion,IIB
167,Spyridia,IIB
168,Streblocladia,IIB
169,Stylonema,IIB
170,Taenioma,IIB
171,Ulothrix,IIB
172,Ulva,IIB
173,Ventricaria,IIB
174,Valonia,IIB
175,Vaucheria,IIB
176,Wrangelia,IIB
177,Wrightiella,IIB
178,Codium,IIB
179,Acantophora,IB
180,Turf,IIB
181,Calcária,IC
182,Calcaria,IC
183,Angiosperma,IB
